UNIX TIME;TIME;LAT;LONG;ALT;DIST;HR;CAD;TEMP;POWER
1179727200;2007-05-21T06:00:00Z;-5,734195;105,601346;42,481;0;0;0;No Data;No Data
1179727246;2007-05-21T06:00:46Z;-5,734230;105,602507;42,212;0,1287069;0;0;No Data;No Data
1179727431;2007-05-21T06:03:51Z;-5,734370;105,607147;53,628;0,6429441;0;0;No Data;No Data
1179727547;2007-05-21T06:05:47Z;-5,734457;105,610045;62,192;0,9641811;0;0;No Data;No Data
1179727663;2007-05-21T06:07:43Z;-5,734544;105,612943;90,926;1,285354;0;0;No Data;No Data
1179727755;2007-05-21T06:09:15Z;-5,734614;105,615260;102,843;1,542157;0;0;No Data;No Data
1179727917;2007-05-21T06:11:57Z;-5,734737;105,619313;103,269;1,991386;0;0;No Data;No Data
1179728124;2007-05-21T06:15:24Z;-5,734888;105,624515;129,643;2,567939;0;0;No Data;No Data
1179728331;2007-05-21T06:18:51Z;-5,735031;105,629706;142,066;3,143218;0;0;No Data;No Data
1179728515;2007-05-21T06:21:55Z;-5,735158;105,634318;165,057;3,654374;0;0;No Data;No Data
1179728676;2007-05-21T06:24:36Z;-5,735269;105,638353;166,182;4,101541;0;0;No Data;No Data
1179728745;2007-05-21T06:25:45Z;-5,735317;105,640082;170,976;4,293142;0;0;No Data;No Data
1179728883;2007-05-21T06:28:03Z;-5,735412;105,643538;171,813;4,67621;0;0;No Data;No Data
1179729090;2007-05-21T06:31:30Z;-5,735553;105,648721;138,955;5,250622;0;0;No Data;No Data
1179729274;2007-05-21T06:34:34Z;-5,735682;105,653329;151,33;5,761297;0;0;No Data;No Data
1179729435;2007-05-21T06:37:15Z;-5,735793;105,657358;134,475;6,207786;0;0;No Data;No Data
1179729526;2007-05-21T06:38:46Z;-5,735846;105,659652;120,691;6,462013;0;0;No Data;No Data
1179729753;2007-05-21T06:42:33Z;-5,736451;105,665307;95,471;7,092067;0;0;No Data;No Data
1179729935;2007-05-21T06:45:35Z;-5,736521;105,669879;76,111;7,598577;0;0;No Data;No Data
1179730142;2007-05-21T06:49:02Z;-5,736637;105,675048;61,938;8,171323;0;0;No Data;No Data
1179730372;2007-05-21T06:52:52Z;-5,737342;105,680781;69,447;8,81125;0;0;No Data;No Data
1179730625;2007-05-21T06:57:05Z;-5,738053;105,687086;65,488;9,514179;0;0;No Data;No Data
1179730785;2007-05-21T06:59:45Z;-5,738143;105,691109;64,763;9,959943;0;0;No Data;No Data
1179731016;2007-05-21T07:03:36Z;-5,738853;105,696846;65,919;10,60044;0;0;No Data;No Data
1179731268;2007-05-21T07:07:48Z;-5,739002;105,703173;61,062;11,3015;0;0;No Data;No Data
1179731383;2007-05-21T07:09:43Z;-5,739074;105,706049;53,295;11,62028;0;0;No Data;No Data
1179731658;2007-05-21T07:14:18Z;-5,739218;105,712948;49,268;12,38472;0;0;No Data;No Data
1179731912;2007-05-21T07:18:32Z;-5,739942;105,719263;45,386;13,08891;0;0;No Data;No Data
1179732211;2007-05-21T07:23:31Z;-5,740693;105,726729;56,665;13,92016;0;0;No Data;No Data
1179732372;2007-05-21T07:26:12Z;-5,740798;105,730756;54,423;14,36644;0;0;No Data;No Data
1179732694;2007-05-21T07:31:34Z;-5,741564;105,738797;37,481;15,26125;0;0;No Data;No Data
1179732811;2007-05-21T07:33:31Z;-5,742204;105,741660;37,024;15,58633;0;0;No Data;No Data
1179732995;2007-05-21T07:36:35Z;-5,742299;105,746266;20,115;16,09668;0;0;No Data;No Data
1179733087;2007-05-21T07:38:07Z;-5,742343;105,748570;29,136;16,35204;0;0;No Data;No Data
1179733340;2007-05-21T07:42:20Z;-5,743061;105,754890;26,449;17,05667;0;0;No Data;No Data
1179733501;2007-05-21T07:45:01Z;-5,743155;105,758920;27,913;17,50322;0;0;No Data;No Data
1179733662;2007-05-21T07:47:42Z;-5,743248;105,762950;29,466;17,94982;0;0;No Data;No Data
1179733870;2007-05-21T07:51:10Z;-5,743944;105,768118;28,707;18,52751;0;0;No Data;No Data
1179734076;2007-05-21T07:54:36Z;-5,744077;105,773293;32,77;19,10104;0;0;No Data;No Data
1179734191;2007-05-21T07:56:31Z;-5,744147;105,776171;23,949;19,42003;0;0;No Data;No Data
1179734329;2007-05-21T07:58:49Z;-5,744216;105,779633;14,826;19,80363;0;0;No Data;No Data
1179734444;2007-05-21T08:00:44Z;-5,744275;105,782518;13,258;20,1233;0;0;No Data;No Data
1179734651;2007-05-21T08:04:11Z;-5,744387;105,787708;19,082;20,69836;0;0;No Data;No Data
1179734768;2007-05-21T08:06:08Z;-5,745028;105,790574;19,348;21,02381;0;0;No Data;No Data
1179734833;2007-05-21T08:07:13Z;-5,746201;105,791698;15,224;21,20434;0;0;No Data;No Data
1179735018;2007-05-21T08:10:18Z;-5,748595;105,795669;5,775;21,71871;0;0;No Data;No Data
1179735166;2007-05-21T08:12:46Z;-5,750948;105,798499;11,518;22,12732;0;0;No Data;No Data
1179735249;2007-05-21T08:14:09Z;-5,752645;105,797300;12,838;22,35824;0;0;No Data;No Data
1179735387;2007-05-21T08:16:27Z;-5,752566;105,793843;13,375;22,74126;0;0;No Data;No Data
1179735501;2007-05-21T08:18:21Z;-5,752494;105,790966;13,802;23,05996;0;0;No Data;No Data
1179735593;2007-05-21T08:19:53Z;-5,752437;105,788664;7,199;23,31498;0;0;No Data;No Data
1179735800;2007-05-21T08:23:20Z;-5,752315;105,783480;4,442;23,88932;0;0;No Data;No Data
1179735892;2007-05-21T08:24:52Z;-5,752261;105,781176;4,286;24,14455;0;0;No Data;No Data
1179736054;2007-05-21T08:27:34Z;-5,751592;105,777159;4,0;24,59568;0;0;No Data;No Data
1179736127;2007-05-21T08:28:47Z;-5,750986;105,775441;6,481;24,79756;0;0;No Data;No Data
1179736267;2007-05-21T08:31:07Z;-5,750343;105,771993;13,05;25,1861;0;0;No Data;No Data
1179736359;2007-05-21T08:32:39Z;-5,750288;105,769690;12,01;25,44118;0;0;No Data;No Data
1179736519;2007-05-21T08:35:19Z;-5,750199;105,765657;16,877;25,88797;0;0;No Data;No Data
1179736611;2007-05-21T08:36:51Z;-5,750143;105,763355;27,125;26,14295;0;0;No Data;No Data
1179736772;2007-05-21T08:39:32Z;-5,750044;105,759327;48,018;26,58918;0;0;No Data;No Data
1179736841;2007-05-21T08:40:41Z;-5,750003;105,757600;51,012;26,78047;0;0;No Data;No Data
1179737002;2007-05-21T08:43:22Z;-5,749911;105,753569;43,536;27,227;0;0;No Data;No Data
1179737117;2007-05-21T08:45:17Z;-5,749852;105,750689;38,862;27,54604;0;0;No Data;No Data
1179737254;2007-05-21T08:47:34Z;-5,749769;105,747236;24,145;27,92859;0;0;No Data;No Data
1179737392;2007-05-21T08:49:52Z;-5,749683;105,743784;35,98;28,31104;0;0;No Data;No Data
1179737581;2007-05-21T08:53:01Z;-5,748450;105,739205;32,571;28,83646;0;0;No Data;No Data
1179737627;2007-05-21T08:53:47Z;-5,748430;105,738053;39,182;28,96402;0;0;No Data;No Data
1179737742;2007-05-21T08:55:42Z;-5,748372;105,735176;67,494;29,28276;0;0;No Data;No Data
1179737879;2007-05-21T08:57:59Z;-5,748290;105,731724;67,111;29,66514;0;0;No Data;No Data
1179737971;2007-05-21T08:59:31Z;-5,748227;105,729424;74,002;29,91996;0;0;No Data;No Data
1179738202;2007-05-21T09:03:22Z;-5,747496;105,723685;55,703;30,56083;0;0;No Data;No Data
1179738293;2007-05-21T09:04:53Z;-5,747441;105,721383;48,878;30,81582;0;0;No Data;No Data
